id,path,score,ref_text,hyp_text,status,verification_status,model_used,norm_ref,norm_hyp,model_results
1,c6c544505d5d69a.mp3,100.0,Частка першая. Па слядах здабычы.,Частка першая: Па слядах здабычы,processed,correct,imported_csv,частка першая па слядах здабычы,частка першая па слядах здабычы,"{""imported_csv"": {""hyp_text"": ""Частка першая: Па слядах здабычы"", ""score"": 100.0, ""norm_ref"": ""частка першая па слядах здабычы"", ""norm_hyp"": ""частка першая па слядах здабычы""}}"
2,75e03a0a9ca0ab4.mp3,100.0,"Белы клык, аповесць Джэка Лондана.",Белы клык. Аповесць Джэка Лондана.,processed,correct,gemini-2.5-flash,белы клык аповесць джэка лондана,белы клык аповесць джэка лондана,"{""imported_csv"": {""hyp_text"": ""Белы клык (апавяданне Джэка Лондана)"", ""score"": 84.85, ""norm_ref"": ""белы клык аповесць джэка лондана"", ""norm_hyp"": ""белы клык апавяданне джэка лондана""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Белы клік аповесць Джэка Лондана"", ""score"": 96.875, ""norm_ref"": ""белы клык аповесць джэка лондана"", ""norm_hyp"": ""белы клік аповесць джэка лондана""}, ""gemini-2.5-flash"": {""hyp_text"": ""Белы клык. Аповесць Джэка Лондана."", ""score"": 100.0, ""norm_ref"": ""белы клык аповесць джэка лондана"", ""norm_hyp"": ""белы клык аповесць джэка лондана""}, ""imported_gemini-2.5-flash"": {""hyp_text"": ""Белы клык. Аповесць Джэка Лондана."", ""score"": 100.0, ""norm_ref"": ""белы клык аповесць джэка лондана"", ""norm_hyp"": ""белы клык аповесць джэка лондана""}}"
3,a1ac2ff4c75cffc.mp3,100.0,"Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.","Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь.",processed,correct,manual,вецер які пранёсся нядаўна сарваў з дрэў белую намаразь,вецер які пранёсся нядаўна сарваў з дрэў белую намаразь,"{""imported_csv"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сорваў з дрэў белую намароз"", ""score"": 95.41284403669725, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сорваў з дрэў белую намароз""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Вячэр, які прынёсся нядаўна, сарваў з дрэў белую намуру."", ""score"": 87.03703703703704, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вячэр які прынёсся нядаўна сарваў з дрэў белую намуру""}, ""gemini-2.5-flash"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""gemini-3-flash-preview"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""gemini-2.5-pro"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""gemini-3-pro-preview"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""imported_gemini-2.5-flash"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""imported_imported_gemini-2.5-flash"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намарась"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}, ""imported_manual"": {""hyp_text"": ""Вецер, які пранёсся нядаўна, сарваў з дрэў белую намаразь."", ""score"": 100.0, ""norm_ref"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь"", ""norm_hyp"": ""вецер які пранёсся нядаўна сарваў з дрэў белую намаразь""}}"
4,e8fa5205643f8ff.mp3,100.0,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.,Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі.,processed,correct,gemini-3-flash-preview,цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі,цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі,"{""imported_csv"": {""hyp_text"": ""Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі."", ""score"": 98.55, ""norm_ref"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі"", ""norm_hyp"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Цёмных ваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі."", ""score"": 98.55072463768117, ""norm_ref"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі"", ""norm_hyp"": ""цёмных ваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі""}, ""gemini-2.5-flash"": {""hyp_text"": ""Цёмных ваявы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі."", ""score"": 95.65217391304348, ""norm_ref"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі"", ""norm_hyp"": ""цёмных ваявы лес стаяў нахмурыўшыся па абодвух берагах замерзлай ракі""}, ""gemini-3-flash-preview"": {""hyp_text"": ""Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі."", ""score"": 100.0, ""norm_ref"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі"", ""norm_hyp"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі""}, ""imported_gemini-3-flash-preview"": {""hyp_text"": ""Цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі."", ""score"": 100.0, ""norm_ref"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі"", ""norm_hyp"": ""цёмны хваёвы лес стаяў нахмурыўшыся па абодвух берагах замёрзлай ракі""}}"
5,859bd94ea248d6d.mp3,100.0,Глыбокая цішыня панавала навокал.,Глыбокая цішыня панавала навокал.,processed,correct,imported_csv,глыбокая цішыня панавала навокал,глыбокая цішыня панавала навокал,"{""imported_csv"": {""hyp_text"": ""Глыбокая цішыня панавала навокал."", ""score"": 100.0, ""norm_ref"": ""глыбокая цішыня панавала навокал"", ""norm_hyp"": ""глыбокая цішыня панавала навокал""}}"
6,3cda13ff84c4a37.mp3,100.0,Па замёрзлай рацэ прабіралася запрэжка ездавых сабак.,Па замёрзлай рацэ прабіралася запрэжка ездавых сабак.,processed,correct,gemini-2.5-pro,па замёрзлай рацэ прабіралася запрэжка ездавых сабак,па замёрзлай рацэ прабіралася запрэжка ездавых сабак,"{""imported_csv"": {""hyp_text"": ""Па замерзлай рацэ прабіралася запрэшка ездавых сабак."", ""score"": 96.15, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""па замерзлай рацэ прабіралася запрэшка ездавых сабак""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Пазамёрзлыя рэцы прабіралася запражкка зь ледавых сабак."", ""score"": 84.11214953271028, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""пазамёрзлыя рэцы прабіралася запражкка зь ледавых сабак""}, ""gemini-2.5-flash"": {""hyp_text"": ""Пазамерзлыя руцы прабіралася запражка із давых сабак."", ""score"": 84.61538461538461, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""пазамерзлыя руцы прабіралася запражка із давых сабак""}, ""gemini-3-flash-preview"": {""hyp_text"": ""Пазмёрзлай рацэ прабіралася запрэжка ездавых сабак."", ""score"": 98.0392156862745, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""пазмёрзлай рацэ прабіралася запрэжка ездавых сабак""}, ""gemini-2.5-pro"": {""hyp_text"": ""Па замёрзлай рацэ прабіралася запрэжка ездавых сабак."", ""score"": 100.0, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Па замёрзлай рацэ прабіралася запрэжка ездавых сабак."", ""score"": 100.0, ""norm_ref"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак"", ""norm_hyp"": ""па замёрзлай рацэ прабіралася запрэжка ездавых сабак""}}"
7,f84e4ff060e60f8.mp3,100.0,"Гэта была глуш, дзікая паўночная глуш, забледзянелым...","Гэта была глуш, дзікая паўночная глуш, забледзянелым...",processed,correct,manual,гэта была глуш дзікая паўночная глуш забледзянелым,гэта была глуш дзікая паўночная глуш забледзянелым,"{""imported_csv"": {""hyp_text"": ""Гэта была глуш дзікая паўночная глуш забледнелым"", ""score"": 97.95918367346938, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўночная глуш забледнелым""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""00:00 Глуш\n00:01 Глуш\n00:02 Глуш\n00:03 Глуш\n00:04 Глуш\n00:05 Глуш\n00:06 Глуш\n00:07 Глуш"", ""score"": 27.906976744186053, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""0000 глуш 0001 глуш 0002 глуш 0003 глуш 0004 глуш 0005 глуш 0006 глуш 0007 глуш""}, ""gemini-2.5-flash"": {""hyp_text"": ""Гэта была глуш, дзікая паўначная глуш, забледзянела."", ""score"": 94.94949494949495, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўначная глуш забледзянела""}, ""gemini-3-flash-preview"": {""hyp_text"": ""Гэта была глуш, дзікая паўночная глуш, забледзянелым..."", ""score"": 100.0, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўночная глуш забледзянелым""}, ""gemini-2.5-pro"": {""hyp_text"": ""гэта была глуш, дзікая паўночная глуш, забледзянел"", ""score"": 97.95918367346938, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўночная глуш забледзянел""}, ""gemini-3-pro-preview"": {""hyp_text"": ""Гэта была глуш, дзікая паўначная глуш з абледзянелым"", ""score"": 97.02970297029702, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўначная глуш з абледзянелым""}, ""imported_gemini-3-pro-preview"": {""hyp_text"": ""Гэта была глуш, дзікая паўначная глуш з абледзянелым"", ""score"": 97.02970297029702, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўначная глуш з абледзянелым""}, ""imported_gemini-3-flash-preview"": {""hyp_text"": ""Гэта была глуш, дзікая паўночная глуш, забледзянелым..."", ""score"": 100.0, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш з забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўночная глуш забледзянелым""}, ""imported_manual"": {""hyp_text"": ""Гэта была глуш, дзікая паўночная глуш, забледзянелым..."", ""score"": 100.0, ""norm_ref"": ""гэта была глуш дзікая паўночная глуш забледзянелым"", ""norm_hyp"": ""гэта была глуш дзікая паўночная глуш забледзянелым""}}"
8,7346fa2fa7e1cf0.mp3,100.0,"І ўсё, што жывое, рухалася ў ёй і кідала ёй выклік.","І ўсё, што жывое, рухалася ў ёй і кідала ёй выклік.",processed,correct,gemini-2.5-flash,і ўсё што жывое рухалася ў ёй і кідала ёй выклік,і ўсё што жывое рухалася ў ёй і кідала ёй выклік,"{""imported_csv"": {""hyp_text"": ""Не ўсё, што жывое, рухалася ў ёй і кідала ёй выклік:"", ""score"": 96.91, ""norm_ref"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік"", ""norm_hyp"": ""не ўсё што жывое рухалася ў ёй і кідала ёй выклік""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Ну ўсё, што жывое, рухалася ў ёй і кідала ёй выклік."", ""score"": 96.90721649484536, ""norm_ref"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік"", ""norm_hyp"": ""ну ўсё што жывое рухалася ў ёй і кідала ёй выклік""}, ""gemini-2.5-flash"": {""hyp_text"": ""І ўсё, што жывое, рухалася ў ёй і кідала ёй выклік."", ""score"": 100.0, ""norm_ref"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік"", ""norm_hyp"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік""}, ""imported_gemini-2.5-flash"": {""hyp_text"": ""І ўсё, што жывое, рухалася ў ёй і кідала ёй выклік."", ""score"": 100.0, ""norm_ref"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік"", ""norm_hyp"": ""і ўсё што жывое рухалася ў ёй і кідала ёй выклік""}}"
9,0ad55fa6cccf2cc.mp3,98.52941176470588,"Ускудлачаная поўсць іх зайнела на марозе, дыханне застывала ў паветры,","Ускудлачаная поўсць іх заенела на марозе, дыханне застывала ў паветры.",processed,correct,imported_csv,ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры,ускудлачаная поўсць іх заенела на марозе дыханне застывала ў паветры,"{""imported_csv"": {""hyp_text"": ""Ускудлачаная поўсць іх заенела на марозе, дыханне застывала ў паветры."", ""score"": 98.52941176470588, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""ускудлачаная поўсць іх заенела на марозе дыханне застывала ў паветры""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Скудлачаная поўсць іх заінела на марозе, дыханне застывала ў паветры."", ""score"": 97.77777777777777, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""скудлачаная поўсць іх заінела на марозе дыханне застывала ў паветры""}, ""gemini-2.5-flash"": {""hyp_text"": ""Ускудлачаная поўсць іх зайняло на марозе, дыханне застывала ў паветры,"", ""score"": 97.05882352941177, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""ускудлачаная поўсць іх зайняло на марозе дыханне застывала ў паветры""}, ""gemini-3-flash-preview"": {""hyp_text"": ""З боку лодачнай пошці заняло на марозе, дыханне застывала ў паветры."", ""score"": 82.08955223880598, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""з боку лодачнай пошці заняло на марозе дыханне застывала ў паветры""}, ""gemini-2.5-pro"": {""hyp_text"": ""Скудлачаная поўсць іх заінела на марозе, дыханне застывала ў паветры."", ""score"": 97.77777777777777, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""скудлачаная поўсць іх заінела на марозе дыханне застывала ў паветры""}, ""gemini-3-pro-preview"": {""hyp_text"": ""Узголаддзе пасцелі іх заінела на марозе, дыханне застывала ў паветры."", ""score"": 81.4814814814815, ""norm_ref"": ""ускудлачаная поўсць іх зайнела на марозе дыханне застывала ў паветры"", ""norm_hyp"": ""узголаддзе пасцелі іх заінела на марозе дыханне застывала ў паветры""}}"
10,3175fa8cf295832.mp3,100.0,"Сабакі былі ў скураной вупражцы; скураныя пастронкі ішлі ад яе да саней,","Сабакі былі ў скураной вупражцы, скураныя пастронкі ішлі ад яе да саней.",processed,correct,gemini-2.5-pro,сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней,сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней,"{""imported_csv"": {""hyp_text"": ""Сабакі былі ў скураной ўпружцы, скураныя пастронкі і шлед яе да саняў,"", ""score"": 89.86, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной ўпружцы скураныя пастронкі і шлед яе да саняў""}, ""gemini-2.5-flash-lite"": {""hyp_text"": ""Сабакі былі ў скураной вопратцы, скураныя пастронкі ішлі ад яе да саней."", ""score"": 97.14285714285714, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной вопратцы скураныя пастронкі ішлі ад яе да саней""}, ""gemini-2.5-flash"": {""hyp_text"": ""Сабакі былі ў скураной воўпражцы. Скураныя пастронкі ішлі ад яе да саней."", ""score"": 97.87234042553192, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной воўпражцы скураныя пастронкі ішлі ад яе да саней""}, ""gemini-3-flash-preview"": {""hyp_text"": ""Сабакі былі ў скураной упрожы, скураныя пастронкі ішлі ад яе да саней."", ""score"": 97.10144927536231, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной упрожы скураныя пастронкі ішлі ад яе да саней""}, ""gemini-2.5-pro"": {""hyp_text"": ""Сабакі былі ў скураной вупражцы, скураныя пастронкі ішлі ад яе да саней."", ""score"": 100.0, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Сабакі былі ў скураной вупражцы, скураныя пастронкі ішлі ад яе да саней."", ""score"": 100.0, ""norm_ref"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней"", ""norm_hyp"": ""сабакі былі ў скураной вупражцы скураныя пастронкі ішлі ад яе да саней""}}"
