id,path,model_name,hyp_text,score,is_best,ref_text
1,4372ce464d5e1bd.mp3,imported_manual,быць сам гартаюся ў маленства і цябе пачынае радаваць,86.72566371681415,True,"быццам сам вяртаешся ў маленства, і цябе пачынае радаваць тое,"
2,d03c5a66e6e293a.mp3,imported_gemini-2.5-pro,Адключаюся ад усіх іншых сур'ёзных спраў і клопатаў.,97.02970297029702,False,"Адключаешся ад усіх іншых сур'ёзных спраў і клопатаў,"
2,d03c5a66e6e293a.mp3,gemini-2.5-flash,адключаеся ад усіх іншых сур'ёзных спраў і клопатаў.,99.00990099009901,True,"Адключаешся ад усіх іншых сур'ёзных спраў і клопатаў,"
3,da8477d4dfd2ada.mp3,imported_gemini-3-flash-preview,"Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень.",100.0,True,"Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень."
4,bd71f96266949cb.mp3,imported_csv,"І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем.",100.0,True,"І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем."
5,18cc6fcf5eb00b0.mp3,imported_manual,"што звычайна не прыкмячаеш, праходзіш міма.",93.97590361445783,True,"чаго звычайна не прыкмячаеш, праходзіш міма."
6,b149ef9bcdd10ec.mp3,imported_gemini-2.5-flash,"Божая кароўка.
Жоўты матыль.",100.0,True,"Божая кароўка, жоўты матыль,"
7,41cbb42202e9610.mp3,imported_csv,"Зялёны жук, кветка дзьмухаўца,",100.0,True,"зялёны жук, кветка дзьмухаўца,"
8,0f2a474355dc49a.mp3,imported_gemini-2.5-pro,"Смелы дзяцел, што заляцеў у парк і весела дзяўбе старую ліпу.",98.30508474576271,False,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу,"
8,0f2a474355dc49a.mp3,gemini-2.5-flash,"Смелы дзяцел, што заляцеў у парк і весела дзяўбе старую ліпу.",98.30508474576271,False,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу,"
8,0f2a474355dc49a.mp3,gemini-2.5-pro,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу.",100.0,True,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу,"
9,3ffc66223c66964.mp3,imported_gemini-3-flash-preview,Ленка пачынае расказваць пра нейкую дзіўную птушку.,100.0,True,"Ленка пачынае расказваць пра нейкую дзіўную птушку,"
10,3e8e93c90f9bb28.mp3,imported_gemini-2.5-pro,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.,100.0,True,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.
11,177057b2585db7d.mp3,imported_gemini-2.5-pro,"якую яна з Танькай і Мішкам бачыла не то ўчора,",100.0,True,"якую яна з Танькай і Мішкам бачыла не то ўчора,"
11,177057b2585db7d.mp3,gemini-2.5-flash,якую яна Станькай і Мішкам бачыла не то ўчора,96.7032967032967,False,"якую яна з Танькай і Мішкам бачыла не то ўчора,"
11,177057b2585db7d.mp3,gemini-2.5-pro,"якую яна з Танькай і Мішкам бачыла не то ўчора,",100.0,False,"якую яна з Танькай і Мішкам бачыла не то ўчора,"
12,a40987a7e90b79d.mp3,imported_manual,"не то не, ну невядома, калі і птушка гэтая ў пачатку",87.61904761904762,True,"не то няма, ну, няма ведама, калі, і птушка гэтая ў пачатку,"
13,5455c15b5b5078a.mp3,imported_csv,"Пакуль... ну, пакуль не распалілася дзіцячая фантазія,",100.0,True,"пакуль, ну, пакуль не распалілася дзіцячая фантазія,"
14,a56ed1fa7c5bba4.mp3,imported_manual,"жоўна далей ператвараецца ў казачных не то жар-птушак,",96.15384615384616,True,"жаўна, далей ператвараецца ў казачных не то жар-птушку,"
