id,path,model_name,hyp_text,score,is_best,ref_text
0,6de7c11b0b22303.mp3,gemini-2.5-pro,Раман Рэмарка Эрых Марыя.,100.0,True,Раман Рэмарка Эрых Марыя.
0,6de7c11b0b22303.mp3,gemini-2.5-flash,Раман Рэмарка Эрых Марыя.,100.0,False,Раман Рэмарка Эрых Марыя.
0,6de7c11b0b22303.mp3,imported_batch_gemini-2.5-flash,Раман Рэмарка Эрых Марыя.,100.0,False,Раман Рэмарка Эрых Марыя.
0,6de7c11b0b22303.mp3,imported_csv,Раман Рэмарка Эрых-Марыя,97.87234042553192,False,Раман Рэмарка Эрых Марыя.
0,6de7c11b0b22303.mp3,imported_gemini-2.5-pro,Раман Рэмарка Эрых Марыя.,100.0,False,Раман Рэмарка Эрых Марыя.
1,598390f20ed1754.mp3,gemini-2.5-pro,Пераклад Уладзіміра Папковіча.,100.0,True,Пераклад Уладзіміра Папковіча.
1,598390f20ed1754.mp3,gemini-2.5-flash,Пераклад Уладзіміра Папковіча.,100.0,False,Пераклад Уладзіміра Папковіча.
1,598390f20ed1754.mp3,imported_batch_gemini-2.5-flash,Пераклад Уладзіміра Папковіча.,100.0,False,Пераклад Уладзіміра Папковіча.
1,598390f20ed1754.mp3,imported_csv,Пераклад Уладзіміра Папковіча,100.0,False,Пераклад Уладзіміра Папковіча.
1,598390f20ed1754.mp3,imported_gemini-2.5-pro,Пераклад Уладзіміра Папковіча.,100.0,False,Пераклад Уладзіміра Папковіча.
2,e782f42f6d31636.mp3,gemini-2.5-pro,Неба яшчэ не закуродымленае дымам фабрычнага коміна.,100.0,True,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,"
2,e782f42f6d31636.mp3,gemini-2.5-flash,"Неба яшчэ не закуродымленае дымам фабрычнага коміна,",100.0,False,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,"
2,e782f42f6d31636.mp3,imported_batch_gemini-2.5-flash,"Неба яшчэ не закуродымленае дымам фабрычнага коміна,",100.0,False,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,"
2,e782f42f6d31636.mp3,imported_csv,Неба яшчэ не закуродымленае дымам фабрычнага коміна.,100.0,False,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,"
2,e782f42f6d31636.mp3,imported_gemini-2.5-pro,Неба яшчэ не закуродымленае дымам фабрычнага коміна.,100.0,False,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,"
3,808ab1f86ca859c.mp3,gemini-2.5-pro,Пад дахамі фабрыкі яно гарэла асабліва ярка.,96.55172413793103,False,Па-за дахамі фабрыкі яно гарэла асабліва ярка.
3,808ab1f86ca859c.mp3,gemini-2.5-flash,пад дахамі фабрыкі. Яно гарэла асабліва ярка.,96.55172413793103,False,Па-за дахамі фабрыкі яно гарэла асабліва ярка.
3,808ab1f86ca859c.mp3,imported_batch_gemini-2.5-flash,пад дахамі фабрыкі. Яно гарэла асабліва ярка.,96.55172413793103,False,Па-за дахамі фабрыкі яно гарэла асабліва ярка.
3,808ab1f86ca859c.mp3,imported_csv,Па-за дахамі фабрыкі яно гарэла асабліва ярка.,100.0,True,Па-за дахамі фабрыкі яно гарэла асабліва ярка.
4,38440c0ff37ce17.mp3,gemini-2.5-pro,"Я зірнуў на гадзіннік, яшчэ не было восьмі, без чвэрці.",98.07692307692307,False,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."
4,38440c0ff37ce17.mp3,gemini-2.5-flash,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці.",100.0,True,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."
4,38440c0ff37ce17.mp3,imported_batch_gemini-2.5-flash,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці.",100.0,False,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."
4,38440c0ff37ce17.mp3,imported_csv,"Я зірнуў на гадзіннік: яшчэ не было васьмі, без чвэрці.",100.0,False,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."
4,38440c0ff37ce17.mp3,imported_gemini-2.5-flash,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці.",100.0,False,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."
5,2e4e1338d7a2281.mp3,gemini-2.5-pro,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,100.0,True,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.
5,2e4e1338d7a2281.mp3,gemini-2.5-flash,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,100.0,False,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.
5,2e4e1338d7a2281.mp3,imported_batch_gemini-2.5-flash,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,100.0,False,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.
5,2e4e1338d7a2281.mp3,imported_csv,я адчыніў вароты і падрыхтаваў помпу бензакалонкі,100.0,False,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.
5,2e4e1338d7a2281.mp3,imported_gemini-2.5-pro,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,100.0,False,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.
6,8d2253a25c28479.mp3,gemini-2.5-pro,Раптам я пачуў за спінай хрыпаты крэкат.,100.0,True,"Раптам я пачуў за спінай хрыпаты крэкат,"
6,8d2253a25c28479.mp3,gemini-2.5-flash,Раптам я пачуў за спінай хрыпаты крэкат.,100.0,False,"Раптам я пачуў за спінай хрыпаты крэкат,"
6,8d2253a25c28479.mp3,imported_batch_gemini-2.5-flash,Раптам я пачуў за спінай хрыпаты крэкат.,100.0,False,"Раптам я пачуў за спінай хрыпаты крэкат,"
6,8d2253a25c28479.mp3,imported_csv,Раптам я пачуў за спінай хрыпаты крэкат.,100.0,False,"Раптам я пачуў за спінай хрыпаты крэкат,"
6,8d2253a25c28479.mp3,imported_gemini-2.5-pro,Раптам я пачуў за спінай хрыпаты крэкат.,100.0,False,"Раптам я пачуў за спінай хрыпаты крэкат,"
7,2b6957d65ee64ba.mp3,gemini-2.5-pro,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і",100.0,True,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"
7,2b6957d65ee64ba.mp3,gemini-2.5-flash,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і",100.0,False,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"
7,2b6957d65ee64ba.mp3,imported_batch_gemini-2.5-flash,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і",100.0,False,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"
7,2b6957d65ee64ba.mp3,imported_csv,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і...",100.0,False,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"
7,2b6957d65ee64ba.mp3,imported_gemini-2.5-pro,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і",100.0,False,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"
8,f95eb79f4848a57.mp3,gemini-2.5-pro,"у поўзмроку памешкання блукаў, хістаючыся, прывід.",95.74468085106383,False,"У паўзмроку памяшкання блукаў, хістаючыся, прывід."
8,f95eb79f4848a57.mp3,gemini-2.5-flash,"У паўзмроку памяшкання блукаў, хістаючыся, прывід.",100.0,True,"У паўзмроку памяшкання блукаў, хістаючыся, прывід."
8,f95eb79f4848a57.mp3,imported_batch_gemini-2.5-flash,"У паўзмроку памяшкання блукаў, хістаючыся, прывід.",100.0,False,"У паўзмроку памяшкання блукаў, хістаючыся, прывід."
8,f95eb79f4848a57.mp3,imported_csv,У паўзмроку памяшкання блукаў хістаючыся прывід.,100.0,False,"У паўзмроку памяшкання блукаў, хістаючыся, прывід."
8,f95eb79f4848a57.mp3,imported_gemini-2.5-flash,"У паўзмроку памяшкання блукаў, хістаючыся, прывід.",100.0,False,"У паўзмроку памяшкання блукаў, хістаючыся, прывід."
9,8d3a0ecba69685c.mp3,gemini-2.5-pro,"Гэты прывід, які размахваў венікам,",100.0,True,"Гэты прывід, які размахваў венікам,"
9,8d3a0ecba69685c.mp3,gemini-2.5-flash,"Гэты прывід, які размахваў венікам.",100.0,False,"Гэты прывід, які размахваў венікам,"
9,8d3a0ecba69685c.mp3,imported_batch_gemini-2.5-flash,"Гэты прывід, які размахваў венікам.",100.0,False,"Гэты прывід, які размахваў венікам,"
9,8d3a0ecba69685c.mp3,imported_csv,"Гэты прывід, які размахваў венікам,",100.0,False,"Гэты прывід, які размахваў венікам,"
9,8d3a0ecba69685c.mp3,imported_gemini-2.5-pro,"Гэты прывід, які размахваў венікам,",100.0,False,"Гэты прывід, які размахваў венікам,"
10,698bf0abcffe6a5.mp3,gemini-2.5-pro,"На ім была брудная, некалі белая хустка, сіні фартух, грубыя пантофлі.",100.0,True,"На ім была брудная, некалі белая хустка, сіні фартух, грубыя пантофлі."
10,698bf0abcffe6a5.mp3,gemini-2.5-flash,"Ну і ім была брудная некалі белая хустка, сіні фартух, грубыя пантофлі.",97.01492537313433,False,"На ім была брудная, некалі белая хустка, сіні фартух, грубыя пантофлі."
