id,path,score,ref_text,hyp_text,status,verification_status,model_used,norm_ref,norm_hyp,model_results
1,4372ce464d5e1bd.mp3,86.72566371681415,"быццам сам вяртаешся ў маленства, і цябе пачынае радаваць тое,",быць сам гартаюся ў маленства і цябе пачынае радаваць,processed,correct,manual,быццам сам вяртаешся ў маленства і цябе пачынае радаваць тое,быць сам гартаюся ў маленства і цябе пачынае радаваць,"{""imported_manual"": {""hyp_text"": ""быць сам гартаюся ў маленства і цябе пачынае радаваць"", ""score"": 86.72566371681415, ""norm_ref"": ""быццам сам вяртаешся ў маленства і цябе пачынае радаваць тое"", ""norm_hyp"": ""быць сам гартаюся ў маленства і цябе пачынае радаваць""}}"
2,d03c5a66e6e293a.mp3,99.00990099009901,"Адключаешся ад усіх іншых сур'ёзных спраў і клопатаў,",адключаеся ад усіх іншых сур'ёзных спраў і клопатаў.,processed,correct,gemini-2.5-flash,адключаешся ад усіх іншых сурёзных спраў і клопатаў,адключаеся ад усіх іншых сурёзных спраў і клопатаў,"{""imported_gemini-2.5-pro"": {""hyp_text"": ""Адключаюся ад усіх іншых сур'ёзных спраў і клопатаў."", ""score"": 97.02970297029702, ""norm_ref"": ""адключаешся ад усіх іншых сурёзных спраў і клопатаў"", ""norm_hyp"": ""адключаюся ад усіх іншых сурёзных спраў і клопатаў""}, ""gemini-2.5-flash"": {""hyp_text"": ""адключаеся ад усіх іншых сур'ёзных спраў і клопатаў."", ""score"": 99.00990099009901, ""norm_ref"": ""адключаешся ад усіх іншых сурёзных спраў і клопатаў"", ""norm_hyp"": ""адключаеся ад усіх іншых сурёзных спраў і клопатаў""}}"
3,da8477d4dfd2ada.mp3,100.0,"Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень.","Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень.",processed,correct,gemini-3-flash-preview,упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень,упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень,"{""imported_gemini-3-flash-preview"": {""hyp_text"": ""Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень."", ""score"": 100.0, ""norm_ref"": ""упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень"", ""norm_hyp"": ""упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень""}}"
4,bd71f96266949cb.mp3,100.0,"І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем.","І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем.",processed,correct,imported_csv,і ўпершыню адчуў як гэта хораша гуляць з дзіцем,і ўпершыню адчуў як гэта хораша гуляць з дзіцем,"{""imported_csv"": {""hyp_text"": ""І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем."", ""score"": 100.0, ""norm_ref"": ""і ўпершыню адчуў як гэта хораша гуляць з дзіцем"", ""norm_hyp"": ""і ўпершыню адчуў як гэта хораша гуляць з дзіцем""}}"
5,18cc6fcf5eb00b0.mp3,93.97590361445783,"чаго звычайна не прыкмячаеш, праходзіш міма.","што звычайна не прыкмячаеш, праходзіш міма.",processed,correct,manual,чаго звычайна не прыкмячаеш праходзіш міма,што звычайна не прыкмячаеш праходзіш міма,"{""imported_manual"": {""hyp_text"": ""што звычайна не прыкмячаеш, праходзіш міма."", ""score"": 93.97590361445783, ""norm_ref"": ""чаго звычайна не прыкмячаеш праходзіш міма"", ""norm_hyp"": ""што звычайна не прыкмячаеш праходзіш міма""}}"
6,b149ef9bcdd10ec.mp3,100.0,"Божая кароўка, жоўты матыль,","Божая кароўка.
Жоўты матыль.",processed,correct,gemini-2.5-flash,божая кароўка жоўты матыль,божая кароўка жоўты матыль,"{""imported_gemini-2.5-flash"": {""hyp_text"": ""Божая кароўка.\nЖоўты матыль."", ""score"": 100.0, ""norm_ref"": ""божая кароўка жоўты матыль"", ""norm_hyp"": ""божая кароўка жоўты матыль""}}"
7,41cbb42202e9610.mp3,100.0,"зялёны жук, кветка дзьмухаўца,","Зялёны жук, кветка дзьмухаўца,",processed,correct,imported_csv,зялёны жук кветка дзьмухаўца,зялёны жук кветка дзьмухаўца,"{""imported_csv"": {""hyp_text"": ""Зялёны жук, кветка дзьмухаўца,"", ""score"": 100.0, ""norm_ref"": ""зялёны жук кветка дзьмухаўца"", ""norm_hyp"": ""зялёны жук кветка дзьмухаўца""}}"
8,0f2a474355dc49a.mp3,100.0,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу,","смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу.",processed,correct,gemini-2.5-pro,смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу,смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу,"{""imported_gemini-2.5-pro"": {""hyp_text"": ""Смелы дзяцел, што заляцеў у парк і весела дзяўбе старую ліпу."", ""score"": 98.30508474576271, ""norm_ref"": ""смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу"", ""norm_hyp"": ""смелы дзяцел што заляцеў у парк і весела дзяўбе старую ліпу""}, ""gemini-2.5-flash"": {""hyp_text"": ""Смелы дзяцел, што заляцеў у парк і весела дзяўбе старую ліпу."", ""score"": 98.30508474576271, ""norm_ref"": ""смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу"", ""norm_hyp"": ""смелы дзяцел што заляцеў у парк і весела дзяўбе старую ліпу""}, ""gemini-2.5-pro"": {""hyp_text"": ""смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу."", ""score"": 100.0, ""norm_ref"": ""смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу"", ""norm_hyp"": ""смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу""}}"
9,3ffc66223c66964.mp3,100.0,"Ленка пачынае расказваць пра нейкую дзіўную птушку,",Ленка пачынае расказваць пра нейкую дзіўную птушку.,processed,correct,gemini-3-flash-preview,ленка пачынае расказваць пра нейкую дзіўную птушку,ленка пачынае расказваць пра нейкую дзіўную птушку,"{""imported_gemini-3-flash-preview"": {""hyp_text"": ""Ленка пачынае расказваць пра нейкую дзіўную птушку."", ""score"": 100.0, ""norm_ref"": ""ленка пачынае расказваць пра нейкую дзіўную птушку"", ""norm_hyp"": ""ленка пачынае расказваць пра нейкую дзіўную птушку""}}"
10,3e8e93c90f9bb28.mp3,100.0,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.,processed,correct,gemini-2.5-pro,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі,"{""imported_gemini-2.5-pro"": {""hyp_text"": ""пазірае ўніз і гарэзліва кідае амаль на галовы трэскі."", ""score"": 100.0, ""norm_ref"": ""пазірае ўніз і гарэзліва кідае амаль на галовы трэскі"", ""norm_hyp"": ""пазірае ўніз і гарэзліва кідае амаль на галовы трэскі""}}"
