id,path,score,ref_text,hyp_text,audio_array,sampling_rate,status,verification_status,model_used,norm_ref,norm_hyp,model_results
1,32b9505113a0be6.mp3,99.17355371900827,"Мая гаспадыня, фраў Залеўскі, дазволіла мне варыць каву ў пакоі.",Мая гаспадыня Фраўзалеўскі дазволіла мне варыць каву ў пакоі,[0.         0.         0.         ... 0.00079055 0.00072493 0.00052093],44100,processed,correct,gemini-2.5-flash-lite,мая гаспадыня фраў залеўскі дазволіла мне варыць каву ў пакоі,мая гаспадыня фраўзалеўскі дазволіла мне варыць каву ў пакоі,"{'imported_csv': {'hyp_text': 'мая гаспадыня фрау Залеўскай дазволіла мне варыць каву ў покой.', 'score': 92.6829268292683, 'norm_ref': 'мая гаспадыня фраў залеўскі дазволіла мне варыць каву ў пакоі', 'norm_hyp': 'мая гаспадыня фрау залеўскай дазволіла мне варыць каву ў покой'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Мая гаспадыня Фраўзалеўскі дазволіла мне варыць каву ў пакоі', 'score': 99.17355371900827, 'norm_ref': 'мая гаспадыня фраў залеўскі дазволіла мне варыць каву ў пакоі', 'norm_hyp': 'мая гаспадыня фраўзалеўскі дазволіла мне варыць каву ў пакоі'}}"
2,3a831a4f9604ae1.mp3,100.0,"Тое, што яна падавала, было занадта слабое, асабліва з пахмелу.","тое, што яна падавала, было занадта слабое, асабліва з пахмелу.","[ 0.          0.          0.         ... -0.00060538 -0.00064908
 -0.00045975]",44100,processed,correct,gemini-2.5-flash,тое што яна падавала было занадта слабое асабліва з пахмелу,тое што яна падавала было занадта слабое асабліва з пахмелу,"{'imported_csv': {'hyp_text': 'Тое, што яна падавала, было занадта слабае, асабліва з пахмелу.', 'score': 98.30508474576271, 'norm_ref': 'тое што яна падавала было занадта слабое асабліва з пахмелу', 'norm_hyp': 'тое што яна падавала было занадта слабае асабліва з пахмелу'}, 'gemini-2.5-flash-lite': {'hyp_text': 'тое, што яна падавала, было занадта слабым, асабліва з пахмелю.', 'score': 94.91525423728814, 'norm_ref': 'тое што яна падавала было занадта слабое асабліва з пахмелу', 'norm_hyp': 'тое што яна падавала было занадта слабым асабліва з пахмелю'}, 'gemini-2.5-flash': {'hyp_text': 'тое, што яна падавала, было занадта слабое, асабліва з пахмелу.', 'score': 100.0, 'norm_ref': 'тое што яна падавала было занадта слабое асабліва з пахмелу', 'norm_hyp': 'тое што яна падавала было занадта слабое асабліва з пахмелу'}}"
3,352c668ae4d959a.mp3,100.0,На дварэ было свежа і ясна. Я паставіў прымус на лаўку і пачаў шукаць каву.,На дварэ было свежа і ясна. Я паставіў прымус на лаўку і пачаў шукаць каву.,"[ 0.          0.          0.         ... -0.00034168 -0.00030577
 -0.00022697]",44100,processed,correct,gemini-2.5-flash-lite,на дварэ было свежа і ясна я паставіў прымус на лаўку і пачаў шукаць каву,на дварэ было свежа і ясна я паставіў прымус на лаўку і пачаў шукаць каву,"{'imported_csv': {'hyp_text': 'На дварэ было свежа і ясна. Абаставіў прымусна лаўку і пачаў шукаць каву.', 'score': 95.83333333333334, 'norm_ref': 'на дварэ было свежа і ясна я паставіў прымус на лаўку і пачаў шукаць каву', 'norm_hyp': 'на дварэ было свежа і ясна абаставіў прымусна лаўку і пачаў шукаць каву'}, 'gemini-2.5-flash-lite': {'hyp_text': 'На дварэ было свежа і ясна. Я паставіў прымус на лаўку і пачаў шукаць каву.', 'score': 100.0, 'norm_ref': 'на дварэ было свежа і ясна я паставіў прымус на лаўку і пачаў шукаць каву', 'norm_hyp': 'на дварэ было свежа і ясна я паставіў прымус на лаўку і пачаў шукаць каву'}}"
4,f89a8f1cc3c28b1.mp3,99.41520467836258,"Назаўтра была нядзеля. Я позна спаў і прачнуўся, калі промні сонца ўпалі мне на пасцель.","На заўтра была нядзеля. Я позна спаў і прачнуўся, калі промні сонца ўпалі мне на пасцель.",[0.         0.         0.         ... 0.00107242 0.00088117 0.00054491],44100,processed,correct,gemini-2.5-flash,назаўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель,на заўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель,"{'imported_csv': {'hyp_text': 'Назаўтра была нядзеля. Я позна спаў і прачнуўся, калі прамяні сонца ўпалі мне на ложак.', 'score': 92.3076923076923, 'norm_ref': 'назаўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель', 'norm_hyp': 'назаўтра была нядзеля я позна спаў і прачнуўся калі прамяні сонца ўпалі мне на ложак'}, 'gemini-2.5-flash-lite': {'hyp_text': 'На заўтра была нядзеля. Я позна спаў і прачнуўся, калі промні сонца ўпалі мне на пасьцель.', 'score': 98.83720930232558, 'norm_ref': 'назаўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель', 'norm_hyp': 'на заўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасьцель'}, 'gemini-2.5-flash': {'hyp_text': 'На заўтра была нядзеля. Я позна спаў і прачнуўся, калі промні сонца ўпалі мне на пасцель.', 'score': 99.41520467836258, 'norm_ref': 'назаўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель', 'norm_hyp': 'на заўтра была нядзеля я позна спаў і прачнуўся калі промні сонца ўпалі мне на пасцель'}}"
5,ab1d11e1193cf01.mp3,99.1869918699187,Я ўжо два гады жыў у пансіянаце Залеўскі. Месца мне падабалася.,Я ўжо два гады жыў у пансіянаце Залеўскім. Месца мне падабалася.,"[ 0.          0.          0.         ... -0.01422251 -0.01614308
 -0.01323536]",44100,processed,correct,gemini-2.5-flash,я ўжо два гады жыў у пансіянаце залеўскі месца мне падабалася,я ўжо два гады жыў у пансіянаце залеўскім месца мне падабалася,"{'imported_csv': {'hyp_text': 'я ўжо два гады жыў у пансіёнаце з арэўскім месца мне падабалася', 'score': 93.5483870967742, 'norm_ref': 'я ўжо два гады жыў у пансіянаце залеўскі месца мне падабалася', 'norm_hyp': 'я ўжо два гады жыў у пансіёнаце з арэўскім месца мне падабалася'}, 'gemini-2.5-flash-lite': {'hyp_text': 'ну я ўжо два гады жыў у пансіянаце Залеўскім. Месца мне падабалася.', 'score': 96.82539682539682, 'norm_ref': 'я ўжо два гады жыў у пансіянаце залеўскі месца мне падабалася', 'norm_hyp': 'ну я ўжо два гады жыў у пансіянаце залеўскім месца мне падабалася'}, 'gemini-2.5-flash': {'hyp_text': 'Я ўжо два гады жыў у пансіянаце Залеўскім. Месца мне падабалася.', 'score': 99.1869918699187, 'norm_ref': 'я ўжо два гады жыў у пансіянаце залеўскі месца мне падабалася', 'norm_hyp': 'я ўжо два гады жыў у пансіянаце залеўскім месца мне падабалася'}}"
6,c78eabd442a2eba.mp3,100.0,"І спакойнымі вечарамі можна было падумаць, што жывеш у вёсцы.","І спакойнымі вечарамі можна было падумаць, што жывеш у вёсцы.","[ 0.          0.          0.         ... -0.00070706 -0.00066212
 -0.00046549]",44100,processed,correct,imported_csv,і спакойнымі вечарамі можна было падумаць што жывеш у вёсцы,і спакойнымі вечарамі можна было падумаць што жывеш у вёсцы,"{'imported_csv': {'hyp_text': 'І спакойнымі вечарамі можна было падумаць, што жывеш у вёсцы.', 'score': 100.0, 'norm_ref': 'і спакойнымі вечарамі можна было падумаць што жывеш у вёсцы', 'norm_hyp': 'і спакойнымі вечарамі можна было падумаць што жывеш у вёсцы'}}"
7,8eebcc3fa7d0190.mp3,99.25925925925925,"Было куды пайсці: побач дом прафсаюзаў, кафэ інтэрнацыяналь і рэстаран,","Было куды пайсці. Побач дом прафсаюзаў, кафэ Інтэрнацыянал і рэстаран.",[0.         0.         0.         ... 0.00023733 0.00019587 0.00013674],44100,processed,correct,imported_csv,было куды пайсці побач дом прафсаюзаў кафэ інтэрнацыяналь і рэстаран,было куды пайсці побач дом прафсаюзаў кафэ інтэрнацыянал і рэстаран,"{'imported_csv': {'hyp_text': 'Было куды пайсці. Побач дом прафсаюзаў, кафэ Інтэрнацыянал і рэстаран.', 'score': 99.25925925925925, 'norm_ref': 'было куды пайсці побач дом прафсаюзаў кафэ інтэрнацыяналь і рэстаран', 'norm_hyp': 'было куды пайсці побач дом прафсаюзаў кафэ інтэрнацыянал і рэстаран'}}"
8,f660c2899bc20c6.mp3,100.0,"Перад домам, акрамя таго, былі старыя могілкі. На іх раслі дрэвы, як у парку.","Перад домам, акрамя таго, былі старыя могілкі. На іх раслі дрэвы, як у парку.","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.62996728e-06
  4.62876051e-06  1.03349885e-05]",44100,processed,correct,imported_csv,перад домам акрамя таго былі старыя могілкі на іх раслі дрэвы як у парку,перад домам акрамя таго былі старыя могілкі на іх раслі дрэвы як у парку,"{'imported_csv': {'hyp_text': 'Перад домам, акрамя таго, былі старыя могілкі. На іх раслі дрэвы, як у парку.', 'score': 100.0, 'norm_ref': 'перад домам акрамя таго былі старыя могілкі на іх раслі дрэвы як у парку', 'norm_hyp': 'перад домам акрамя таго былі старыя могілкі на іх раслі дрэвы як у парку'}}"
9,e85807ece509990.mp3,100.0,"Але спакойна ставаў вельмі позна,",Але спакойна ставаў вельмі позна.,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.2232154e-05
 -6.7158224e-05 -6.1843770e-05]",44100,processed,correct,imported_csv,але спакойна ставаў вельмі позна,але спакойна ставаў вельмі позна,"{'imported_csv': {'hyp_text': 'Але спакойна ставаў вельмі позна.', 'score': 100.0, 'norm_ref': 'але спакойна ставаў вельмі позна', 'norm_hyp': 'але спакойна ставаў вельмі позна'}}"
10,8fe96912731dede.mp3,100.0,У скарбонку фраў Залеўскі могілкі прыносілі надзейны прыбытак.,У скарбонку фраў Залеўскі могілкі прыносілі надзейны прыбытак.,"[ 0.          0.          0.         ... -0.00025558 -0.00021554
 -0.0001661 ]",44100,processed,correct,batch_gemini-2.5-pro,у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак,у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак,"{'imported_csv': {'hyp_text': 'У скарбонку фразалеўскай могілкі прыносілі надзейны прыбытак.', 'score': 95.86776859504133, 'norm_ref': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак', 'norm_hyp': 'у скарбонку фразалеўскай могілкі прыносілі надзейны прыбытак'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Ось карбонку, фрау Залеўскі, могілкі прыносілі надзейны прыбытак.', 'score': 94.3089430894309, 'norm_ref': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак', 'norm_hyp': 'ось карбонку фрау залеўскі могілкі прыносілі надзейны прыбытак'}, 'gemini-2.5-flash': {'hyp_text': 'Вось карбонку фраў Залеўскі могілкі прыносілі надзейны прыбытак.', 'score': 95.16129032258065, 'norm_ref': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак', 'norm_hyp': 'вось карбонку фраў залеўскі могілкі прыносілі надзейны прыбытак'}, 'gemini-3-flash-preview': {'hyp_text': 'Оскару Банку і фраў Залеўскі могілкі прыносілі надзейны прыбытак.', 'score': 92.80000000000001, 'norm_ref': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак', 'norm_hyp': 'оскару банку і фраў залеўскі могілкі прыносілі надзейны прыбытак'}, 'gemini-2.5-pro': {'hyp_text': 'У скарбонку фраў Залеўскі могілкі прыносілі надзейны прыбытак.', 'score': 100.0, 'norm_ref': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак', 'norm_hyp': 'у скарбонку фраў залеўскі могілкі прыносілі надзейны прыбытак'}}"
