id,path,score,ref_text,hyp_text,status,verification_status,model_used,norm_ref,norm_hyp,model_results
0,6de7c11b0b22303.mp3,100.0,Раман Рэмарка Эрых Марыя.,Раман Рэмарка Эрых Марыя.,processed,correct,gemini-2.5-pro,раман рэмарка эрых марыя,раман рэмарка эрых марыя,"{""gemini-2.5-pro"": {""hyp_text"": ""Раман Рэмарка Эрых Марыя."", ""score"": 100.0, ""norm_ref"": ""раман рэмарка эрых марыя"", ""norm_hyp"": ""раман рэмарка эрых марыя""}, ""gemini-2.5-flash"": {""hyp_text"": ""Раман Рэмарка Эрых Марыя."", ""score"": 100.0, ""norm_ref"": ""раман рэмарка эрых марыя"", ""norm_hyp"": ""раман рэмарка эрых марыя""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Раман Рэмарка Эрых Марыя."", ""score"": 100.0, ""norm_ref"": ""раман рэмарка эрых марыя"", ""norm_hyp"": ""раман рэмарка эрых марыя""}, ""imported_csv"": {""hyp_text"": ""Раман Рэмарка Эрых-Марыя"", ""score"": 97.87234042553192, ""norm_ref"": ""раман рэмарка эрых марыя"", ""norm_hyp"": ""раман рэмарка эрыхмарыя""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Раман Рэмарка Эрых Марыя."", ""score"": 100.0, ""norm_ref"": ""раман рэмарка эрых марыя"", ""norm_hyp"": ""раман рэмарка эрых марыя""}}"
1,598390f20ed1754.mp3,100.0,Пераклад Уладзіміра Папковіча.,Пераклад Уладзіміра Папковіча.,processed,correct,gemini-2.5-pro,пераклад уладзіміра папковіча,пераклад уладзіміра папковіча,"{""gemini-2.5-pro"": {""hyp_text"": ""Пераклад Уладзіміра Папковіча."", ""score"": 100.0, ""norm_ref"": ""пераклад уладзіміра папковіча"", ""norm_hyp"": ""пераклад уладзіміра папковіча""}, ""gemini-2.5-flash"": {""hyp_text"": ""Пераклад Уладзіміра Папковіча."", ""score"": 100.0, ""norm_ref"": ""пераклад уладзіміра папковіча"", ""norm_hyp"": ""пераклад уладзіміра папковіча""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Пераклад Уладзіміра Папковіча."", ""score"": 100.0, ""norm_ref"": ""пераклад уладзіміра папковіча"", ""norm_hyp"": ""пераклад уладзіміра папковіча""}, ""imported_csv"": {""hyp_text"": ""Пераклад Уладзіміра Папковіча"", ""score"": 100.0, ""norm_ref"": ""пераклад уладзіміра папковіча"", ""norm_hyp"": ""пераклад уладзіміра папковіча""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Пераклад Уладзіміра Папковіча."", ""score"": 100.0, ""norm_ref"": ""пераклад уладзіміра папковіча"", ""norm_hyp"": ""пераклад уладзіміра папковіча""}}"
2,e782f42f6d31636.mp3,100.0,"Неба, яшчэ не закуродымленае дымам фабрычнага коміна,",Неба яшчэ не закуродымленае дымам фабрычнага коміна.,processed,correct,gemini-2.5-pro,неба яшчэ не закуродымленае дымам фабрычнага коміна,неба яшчэ не закуродымленае дымам фабрычнага коміна,"{""gemini-2.5-pro"": {""hyp_text"": ""Неба яшчэ не закуродымленае дымам фабрычнага коміна."", ""score"": 100.0, ""norm_ref"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна"", ""norm_hyp"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна""}, ""gemini-2.5-flash"": {""hyp_text"": ""Неба яшчэ не закуродымленае дымам фабрычнага коміна,"", ""score"": 100.0, ""norm_ref"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна"", ""norm_hyp"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Неба яшчэ не закуродымленае дымам фабрычнага коміна,"", ""score"": 100.0, ""norm_ref"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна"", ""norm_hyp"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна""}, ""imported_csv"": {""hyp_text"": ""Неба яшчэ не закуродымленае дымам фабрычнага коміна."", ""score"": 100.0, ""norm_ref"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна"", ""norm_hyp"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Неба яшчэ не закуродымленае дымам фабрычнага коміна."", ""score"": 100.0, ""norm_ref"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна"", ""norm_hyp"": ""неба яшчэ не закуродымленае дымам фабрычнага коміна""}}"
3,808ab1f86ca859c.mp3,100.0,Па-за дахамі фабрыкі яно гарэла асабліва ярка.,Па-за дахамі фабрыкі яно гарэла асабліва ярка.,processed,correct,imported_csv,паза дахамі фабрыкі яно гарэла асабліва ярка,паза дахамі фабрыкі яно гарэла асабліва ярка,"{""gemini-2.5-pro"": {""hyp_text"": ""Пад дахамі фабрыкі яно гарэла асабліва ярка."", ""score"": 96.55172413793103, ""norm_ref"": ""паза дахамі фабрыкі яно гарэла асабліва ярка"", ""norm_hyp"": ""пад дахамі фабрыкі яно гарэла асабліва ярка""}, ""gemini-2.5-flash"": {""hyp_text"": ""пад дахамі фабрыкі. Яно гарэла асабліва ярка."", ""score"": 96.55172413793103, ""norm_ref"": ""паза дахамі фабрыкі яно гарэла асабліва ярка"", ""norm_hyp"": ""пад дахамі фабрыкі яно гарэла асабліва ярка""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""пад дахамі фабрыкі. Яно гарэла асабліва ярка."", ""score"": 96.55172413793103, ""norm_ref"": ""паза дахамі фабрыкі яно гарэла асабліва ярка"", ""norm_hyp"": ""пад дахамі фабрыкі яно гарэла асабліва ярка""}, ""imported_csv"": {""hyp_text"": ""Па-за дахамі фабрыкі яно гарэла асабліва ярка."", ""score"": 100.0, ""norm_ref"": ""паза дахамі фабрыкі яно гарэла асабліва ярка"", ""norm_hyp"": ""паза дахамі фабрыкі яно гарэла асабліва ярка""}}"
4,38440c0ff37ce17.mp3,100.0,"Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці.","Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці.",processed,correct,gemini-2.5-flash,я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці,я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці,"{""gemini-2.5-pro"": {""hyp_text"": ""Я зірнуў на гадзіннік, яшчэ не было восьмі, без чвэрці."", ""score"": 98.07692307692307, ""norm_ref"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці"", ""norm_hyp"": ""я зірнуў на гадзіннік яшчэ не было восьмі без чвэрці""}, ""gemini-2.5-flash"": {""hyp_text"": ""Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."", ""score"": 100.0, ""norm_ref"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці"", ""norm_hyp"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."", ""score"": 100.0, ""norm_ref"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці"", ""norm_hyp"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці""}, ""imported_csv"": {""hyp_text"": ""Я зірнуў на гадзіннік: яшчэ не было васьмі, без чвэрці."", ""score"": 100.0, ""norm_ref"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці"", ""norm_hyp"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці""}, ""imported_gemini-2.5-flash"": {""hyp_text"": ""Я зірнуў на гадзіннік, яшчэ не было васьмі, без чвэрці."", ""score"": 100.0, ""norm_ref"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці"", ""norm_hyp"": ""я зірнуў на гадзіннік яшчэ не было васьмі без чвэрці""}}"
5,2e4e1338d7a2281.mp3,100.0,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,Я адчыніў вароты і падрыхтаваў помпу бензакалонкі.,processed,correct,gemini-2.5-pro,я адчыніў вароты і падрыхтаваў помпу бензакалонкі,я адчыніў вароты і падрыхтаваў помпу бензакалонкі,"{""gemini-2.5-pro"": {""hyp_text"": ""Я адчыніў вароты і падрыхтаваў помпу бензакалонкі."", ""score"": 100.0, ""norm_ref"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""norm_hyp"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі""}, ""gemini-2.5-flash"": {""hyp_text"": ""Я адчыніў вароты і падрыхтаваў помпу бензакалонкі."", ""score"": 100.0, ""norm_ref"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""norm_hyp"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Я адчыніў вароты і падрыхтаваў помпу бензакалонкі."", ""score"": 100.0, ""norm_ref"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""norm_hyp"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі""}, ""imported_csv"": {""hyp_text"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""score"": 100.0, ""norm_ref"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""norm_hyp"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Я адчыніў вароты і падрыхтаваў помпу бензакалонкі."", ""score"": 100.0, ""norm_ref"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі"", ""norm_hyp"": ""я адчыніў вароты і падрыхтаваў помпу бензакалонкі""}}"
6,8d2253a25c28479.mp3,100.0,"Раптам я пачуў за спінай хрыпаты крэкат,",Раптам я пачуў за спінай хрыпаты крэкат.,processed,correct,gemini-2.5-pro,раптам я пачуў за спінай хрыпаты крэкат,раптам я пачуў за спінай хрыпаты крэкат,"{""gemini-2.5-pro"": {""hyp_text"": ""Раптам я пачуў за спінай хрыпаты крэкат."", ""score"": 100.0, ""norm_ref"": ""раптам я пачуў за спінай хрыпаты крэкат"", ""norm_hyp"": ""раптам я пачуў за спінай хрыпаты крэкат""}, ""gemini-2.5-flash"": {""hyp_text"": ""Раптам я пачуў за спінай хрыпаты крэкат."", ""score"": 100.0, ""norm_ref"": ""раптам я пачуў за спінай хрыпаты крэкат"", ""norm_hyp"": ""раптам я пачуў за спінай хрыпаты крэкат""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Раптам я пачуў за спінай хрыпаты крэкат."", ""score"": 100.0, ""norm_ref"": ""раптам я пачуў за спінай хрыпаты крэкат"", ""norm_hyp"": ""раптам я пачуў за спінай хрыпаты крэкат""}, ""imported_csv"": {""hyp_text"": ""Раптам я пачуў за спінай хрыпаты крэкат."", ""score"": 100.0, ""norm_ref"": ""раптам я пачуў за спінай хрыпаты крэкат"", ""norm_hyp"": ""раптам я пачуў за спінай хрыпаты крэкат""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Раптам я пачуў за спінай хрыпаты крэкат."", ""score"": 100.0, ""norm_ref"": ""раптам я пачуў за спінай хрыпаты крэкат"", ""norm_hyp"": ""раптам я пачуў за спінай хрыпаты крэкат""}}"
7,2b6957d65ee64ba.mp3,100.0,"Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і","Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і",processed,correct,gemini-2.5-pro,я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і,я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і,"{""gemini-2.5-pro"": {""hyp_text"": ""Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"", ""score"": 100.0, ""norm_ref"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і"", ""norm_hyp"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і""}, ""gemini-2.5-flash"": {""hyp_text"": ""Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"", ""score"": 100.0, ""norm_ref"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і"", ""norm_hyp"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"", ""score"": 100.0, ""norm_ref"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і"", ""norm_hyp"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і""}, ""imported_csv"": {""hyp_text"": ""Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і..."", ""score"": 100.0, ""norm_ref"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і"", ""norm_hyp"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Я спыніўся, прыслухаўся, затым вярнуўся праз двор да майстэрні і"", ""score"": 100.0, ""norm_ref"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і"", ""norm_hyp"": ""я спыніўся прыслухаўся затым вярнуўся праз двор да майстэрні і""}}"
8,f95eb79f4848a57.mp3,100.0,"У паўзмроку памяшкання блукаў, хістаючыся, прывід.","У паўзмроку памяшкання блукаў, хістаючыся, прывід.",processed,correct,gemini-2.5-flash,у паўзмроку памяшкання блукаў хістаючыся прывід,у паўзмроку памяшкання блукаў хістаючыся прывід,"{""gemini-2.5-pro"": {""hyp_text"": ""у поўзмроку памешкання блукаў, хістаючыся, прывід."", ""score"": 95.74468085106383, ""norm_ref"": ""у паўзмроку памяшкання блукаў хістаючыся прывід"", ""norm_hyp"": ""у поўзмроку памешкання блукаў хістаючыся прывід""}, ""gemini-2.5-flash"": {""hyp_text"": ""У паўзмроку памяшкання блукаў, хістаючыся, прывід."", ""score"": 100.0, ""norm_ref"": ""у паўзмроку памяшкання блукаў хістаючыся прывід"", ""norm_hyp"": ""у паўзмроку памяшкання блукаў хістаючыся прывід""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""У паўзмроку памяшкання блукаў, хістаючыся, прывід."", ""score"": 100.0, ""norm_ref"": ""у паўзмроку памяшкання блукаў хістаючыся прывід"", ""norm_hyp"": ""у паўзмроку памяшкання блукаў хістаючыся прывід""}, ""imported_csv"": {""hyp_text"": ""У паўзмроку памяшкання блукаў хістаючыся прывід."", ""score"": 100.0, ""norm_ref"": ""у паўзмроку памяшкання блукаў хістаючыся прывід"", ""norm_hyp"": ""у паўзмроку памяшкання блукаў хістаючыся прывід""}, ""imported_gemini-2.5-flash"": {""hyp_text"": ""У паўзмроку памяшкання блукаў, хістаючыся, прывід."", ""score"": 100.0, ""norm_ref"": ""у паўзмроку памяшкання блукаў хістаючыся прывід"", ""norm_hyp"": ""у паўзмроку памяшкання блукаў хістаючыся прывід""}}"
9,8d3a0ecba69685c.mp3,100.0,"Гэты прывід, які размахваў венікам,","Гэты прывід, які размахваў венікам,",processed,correct,gemini-2.5-pro,гэты прывід які размахваў венікам,гэты прывід які размахваў венікам,"{""gemini-2.5-pro"": {""hyp_text"": ""Гэты прывід, які размахваў венікам,"", ""score"": 100.0, ""norm_ref"": ""гэты прывід які размахваў венікам"", ""norm_hyp"": ""гэты прывід які размахваў венікам""}, ""gemini-2.5-flash"": {""hyp_text"": ""Гэты прывід, які размахваў венікам."", ""score"": 100.0, ""norm_ref"": ""гэты прывід які размахваў венікам"", ""norm_hyp"": ""гэты прывід які размахваў венікам""}, ""imported_batch_gemini-2.5-flash"": {""hyp_text"": ""Гэты прывід, які размахваў венікам."", ""score"": 100.0, ""norm_ref"": ""гэты прывід які размахваў венікам"", ""norm_hyp"": ""гэты прывід які размахваў венікам""}, ""imported_csv"": {""hyp_text"": ""Гэты прывід, які размахваў венікам,"", ""score"": 100.0, ""norm_ref"": ""гэты прывід які размахваў венікам"", ""norm_hyp"": ""гэты прывід які размахваў венікам""}, ""imported_gemini-2.5-pro"": {""hyp_text"": ""Гэты прывід, які размахваў венікам,"", ""score"": 100.0, ""norm_ref"": ""гэты прывід які размахваў венікам"", ""norm_hyp"": ""гэты прывід які размахваў венікам""}}"
