id,path,score,ref_text,hyp_text,status,verification_status,model_used,norm_ref,norm_hyp
1,4372ce464d5e1bd.mp3,86.72566371681415,"быццам сам вяртаешся ў маленства, і цябе пачынае радаваць тое,",быць сам гартаюся ў маленства і цябе пачынае радаваць,processed,correct,manual,быццам сам вяртаешся ў маленства і цябе пачынае радаваць тое,быць сам гартаюся ў маленства і цябе пачынае радаваць
2,d03c5a66e6e293a.mp3,97.02970297029702,"Адключаешся ад усіх іншых сур'ёзных спраў і клопатаў,",Адключаюся ад усіх іншых сур'ёзных спраў і клопатаў.,processed,incorrect,gemini-2.5-pro,адключаешся ад усіх іншых сурёзных спраў і клопатаў,адключаюся ад усіх іншых сурёзных спраў і клопатаў
3,da8477d4dfd2ada.mp3,100.0,"Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень.","Упершыню за паўгода, як вярнуўся з арміі, Пятро аддаў дачцэ ўвесь дзень.",processed,correct,gemini-3-flash-preview,упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень,упершыню за паўгода як вярнуўся з арміі пятро аддаў дачцэ ўвесь дзень
4,bd71f96266949cb.mp3,100.0,"І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем.","І ўпершыню адчуў, як гэта хораша, гуляць з дзіцем.",processed,correct,imported_csv,і ўпершыню адчуў як гэта хораша гуляць з дзіцем,і ўпершыню адчуў як гэта хораша гуляць з дзіцем
5,18cc6fcf5eb00b0.mp3,93.97590361445783,"чаго звычайна не прыкмячаеш, праходзіш міма.","што звычайна не прыкмячаеш, праходзіш міма.",processed,correct,manual,чаго звычайна не прыкмячаеш праходзіш міма,што звычайна не прыкмячаеш праходзіш міма
6,b149ef9bcdd10ec.mp3,100.0,"Божая кароўка, жоўты матыль,","Божая кароўка.
Жоўты матыль.",processed,correct,gemini-2.5-flash,божая кароўка жоўты матыль,божая кароўка жоўты матыль
7,41cbb42202e9610.mp3,100.0,"зялёны жук, кветка дзьмухаўца,","Зялёны жук, кветка дзьмухаўца,",processed,correct,imported_csv,зялёны жук кветка дзьмухаўца,зялёны жук кветка дзьмухаўца
8,0f2a474355dc49a.mp3,98.30508474576271,"смелы дзяцел, што заляцеў у парк і весела дзеўбе старую ліпу,","Смелы дзяцел, што заляцеў у парк і весела дзяўбе старую ліпу.",processed,incorrect,gemini-2.5-pro,смелы дзяцел што заляцеў у парк і весела дзеўбе старую ліпу,смелы дзяцел што заляцеў у парк і весела дзяўбе старую ліпу
9,3ffc66223c66964.mp3,100.0,"Ленка пачынае расказваць пра нейкую дзіўную птушку,",Ленка пачынае расказваць пра нейкую дзіўную птушку.,processed,correct,gemini-3-flash-preview,ленка пачынае расказваць пра нейкую дзіўную птушку,ленка пачынае расказваць пра нейкую дзіўную птушку
10,3e8e93c90f9bb28.mp3,100.0,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі.,processed,correct,gemini-2.5-pro,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі,пазірае ўніз і гарэзліва кідае амаль на галовы трэскі
